label;claude_sent;gpt_sent;gpt_sent_2;lyrics
positive;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
There's nothing in the morning
Just flowers and a feeling
That yesterday was stalling
For time to let the scene in

But you know how everything grows
And you know the feeling is love
But you're one night away
You're one night away

The snow has started falling
And covered our graffiti
I wander through the city
To find we're stealing evening

But you know how everything grows
And you know the feeling is love
But you're one night away
You're one night away, oh yeah
Oh, you're one night away

The feeling is love
The feeling is love
The feeling is love
The feeling is love
The feeling is love
The feeling is love"
fun;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
No pussyfootin' or that look of surprise
Can't hide the holes in your eyes or cover up that bitter smile
All the birds can see that you're heading south
That mirror deep in your mouth reflects you running on for miles

When you cut the lights out think of me
When you cut the lights out think of all the things you can't see
But are they real?
That face will be revealed
Revealed
Revealed

Nobody's callin' that payphone in your mind
I wonder just what they find but that line's busy all the time
I ain't got nothing but your seed on my face
You'll put them babies to waste without your finger in the pie

When you cut the lights out think of me
When you cut the lights out think of all the things you can't see
But are they real?
That face will be revealed
Revealed
Revealed

My mama told me one thing I'll remember till I die
The one you want the most will be the one that you defy
The times they're gonna love you
Like stitches in the scar
You can never run from trouble
'Cause there ain't no place that far

When you cut the lights out think of me (Think of me)
When you cut the lights out think of all the things you can't see
But are they real?
That face will be revealed
Revealed
Revealed"
melancholy;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
Before I let you down again
I just want to see you in your eyes
I would have taken everything out on you
I only thought you could understand

They say every man goes blind in his heart
And they say everybody steals somebody's heart away
And I've got nothing more to say about it
Nothing more than you would me

Send me your flowers of your December
Send me your dreams of your candy wine
I got just one thing I can't give you
Just one more thing of mine

They say every man goes blind in his heart
They say everybody steals somebody's heart away
And I've been wondering why you let me down
And I've been taking it all for granted"
cynical;;Negative Emotions;Negative Sentiments;"There's a ground swell
Sending shock waves through the world
Is it the coming of the antichrist?
People are waking from their big sleep
There's an outcry rising from a million throats
Is it a loss of apathy?
People snapping out of their drug-induced state
They're quaking with the DTs
Questioning their loyalties
Calling for the big freeze
Shaking the foundations
Shaking the foundations
Shaking the foundations of the world
They're running to the left
Defecting to the right
The future looks dim
Panic is setting in
There's an upheaval
Sending tremors up and down my spine
Is it the coming of the antichrist?
People are not all lobotomized
There's a fury burning in a million hearts
Is it a loss of apathy?
Slapped in the face by the real world
Touched by the cold hand of fear
Examining their priorities
Calling for the big freeze
Shaking the foundations
Shaking the foundations
Shaking the foundations of the world"
quiet;;Calm and Peaceful;Calm and Peaceful;"I struck up the shore
Out tonight, out tonight
You were at the door
I fell, I fell
I was trying to get away
But you were there, yeah you were there
I walked down the street
Trying to, yeah trying to
Find a place to be alone
I could go, I could go
Then comes afraid alone
But you were there, you were there
I went down the road
To find a friend, to find a friend
He said you said
That i was gone, that I was gone
I went home to stay
And you were there, you were there"
sexual;;;Energetic and Exciting;"Every now and again a snake creeps
And crawls his way into your life
Like the deadly black Mamba
So fast you can't even strike
But let me tell you mama
One snake you must keep as
Your very special friend
I'm a crawling king snake mama
And I rule my den
Yeah, I'm a crawling king snake baby
And I rule my den
You know I'm a crawling king snake baby
Let me roam your property
I'll steal your little chickens baby
I'll take them home with me
'Cause I'm a crawling king snake baby
And I rule my den
Well, I'll lie beneath your mushrooms
Turn around your cold cold leave
I'm sleeping in your dreams baby
And I bite you with my teeth
'Cause I'm a crawling king snake baby
And I rule my den
Ah, I'mgonna crawl into your dream baby
It was real easy getting over the argument
That we had
I just took her to Hollywood
And we checked into the Chateau Marmont
Sunset Boulevard
Outside the windows cars"
thoughtful;Pensive/Emotional;;Calm and Peaceful;"State of pain
Like mercury
Hearing pink illusion
Gorgeous at 85
Older at 23
I drink the water out of time
I said, has anybody seen
The whirlpool floating in my mind
I said, has anybody seen
This is the low that I could find
And I'm on solitary sand
And I've been stepped on by a man
But I stood taller than I am
In parentheses
Beauty queens are very shy
More than lash that meets the eye
So she jumps then wants to fly
But it's too late now
I'm in denial
I get midevil on boy bands
I said, is anybody listening?
The way life makes the nice girls fast
I said, is anybody listening?
It isn't just a lucky chance
And I'm on solitary sand
And all the bullshit from a man
But found exactly who I am
I'll never be the vision of a girl who can write poetry
I'll never be the little black dress we've seen on Natalie B
I'll never be five foot ten, I'm barely five foot three
I'm on solitary sand, but in parentheses"
wistful;Pensive/Emotional;;Complex and Mysterious;"I'll cross your path
You won't let me forget it
You can change your name
And make me remember it
And they think that you're too much for words
But they don't know how to show it
They've labeled you most likely to succeed
Though you don't know how they'd know it
I don't want your stories anymore
They were fun when I was four
I'd do away with the Pixies
If you could give me something more
She's away with the Pixies
We'll work it out
We'll make it worthwhile
Cause you can't always change your name
Like your clothes go out of style
And they're jealous cause you know so much
They can't quite get a grip
You're everything they wish they were
You never miss a trick
I don't want your stories anymore
They were fun when I was four
I'd do away with the Pixies
If you could give me something more
She's away with the Pixies"
calm;;Calm and Peaceful;Calm and Peaceful;"Swept away
By the wonder of it all
So amazed
Never saw it coming
Left me dazed
And I don't know where to turn
Here and now
Seems I'm standing on the edge
Looking down
I can clearly see your face in the crowd
Makes me feel I'm not alone
If I fall, if I fall, if I fall, will you catch me?
Seems to me
I'm exactly where I dreamt
I would be
And the view from here is something to see
But I need a hand to hold on to
If I fall, if I fall, if I fall, will you catch me?
If I fall, if I fall, if I fall, will you catch me?
If I fall, if I fall if I fall
(Will you catch me, make it alright, 'cause I'm standing, on the edge now, see your face and)
Will you catch me?
If I fall, if I fall, if I fall
(Will you catch me, make it alright, looking down I, see your face, yeah, if I fall now)
Will you catch me?
If I fall, if I fall, if I fall will you catch me?"
uplifting;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
Come on, little boy, I am your friend
And I understand the pain you're in
You've seen your mom come, come home dreaming
In the rain, when you wash, you can't fade it

Come on, little boy
You don't need to cry
You don't need to cry your eyes out
Cry your eyes out

Come on, kid
Keep your head up and sigh
You don't need to understand
The reasons why

Oh why, oh why, oh why, oh
Why, oh why, oh why, oh why, oh
Why, oh why, oh why, oh why, oh
Why, oh why, oh why, oh why, oh
Why"
mellow;Pensive/Emotional;;Calm and Peaceful;"
We expected something, something better than before
We expected something more

Do you really think you can just put it in a safe
Behind a painting, lock it up and leave?
Do you really think you can just put it in a safe
Behind a painting, lock it up and leave?
Walk away now and you're gonna start a war

Whatever went away, I'll get it over again
I'll get money, I'll get funny again
Whatever went away, I'll get it over again
I'll get money, I'll get funny again
Walk away now and you're gonna start a war

We expected something, something better than before
We expected something more

You were always weird, but I never had to hold you
By the edges like I do now
You were always weird, but I never had to hold you
By the edges like I do now
Walk away now and you're gonna start a war

Whatever went away, I'll get it over again
I'll get money, I'll get funny again
Whatever went away, I'll get it over again
I'll get money, I'll get funny again
Walk away now and you're gonna start a war

Walk away now and you're gonna start a war"
happy;;Positive Emotions;Positive Sentiments;"
It's getting better all the time

I used to get mad at my school (No, I can't complain)
The teachers who taught me weren't cool (No, I can't complain)
You're holding me down (Ah-ah), turning me 'round (Ah-oh)
Filling me up with your rules (Fool, you fool)

I've got to admit it's getting better (Better)
A little better all the time (It can't get no worse)
I have to admit it's getting better (Better)
It's getting better since you've been mine

Me used to be angry young man
Me hiding me head in the sand
You gave me the word, I finally heard
I'm doing the best that I can

I've got to admit it's getting better (Better)
A little better all the time (It can't get no worse)
I have to admit it's getting better (Better)
It's getting better since you've been mine
Getting so much better all the time!

It's getting better all the time
(Better, better, better)
It's getting better all the time
(Better, better, better)

I used to be cruel to my woman
I beat her and kept her apart from the things that she loved
Man, I was mean but I'm changing my scene
And I'm doing the best that I can (Fool, you fool)

I admit it's getting better (Better)
A little better all the time (It can't get no worse)
Yes, I admit it's getting better (Better)
It's getting better since you've been mine
Getting so much better all the time!

It's getting better all the time
(Better, better, better)
It's getting better all the time
(Better, better, better)

Getting so much better all the time!"
trippy;;;Energetic and Exciting;"Las Vegas man, Las Vegas man
Going to the star, going to the star
The big orange star, the big orange star
It's so far, so very, very far
To the big money wheel, to the big money wheel
Las Vegas man, Las Vegas man
Mmm, mmm
Yeah, it's over there
The loser lounge, the loser lounge
He's a-throwin' the dice
Looking for a 7/11, looking for a 7/11
All his life, all his life
He's stayin' alive, yeah, he's stayin' alive
Losing his drive, losing his drive
Las Vegas man, Las Vegas man
He's stayin' alive, he's stayin' alive
Oh, losing his drive, losing his drive"
tender;;;Positive Sentiments;"
A little piece of something falling gently down, down, down
No one understands you like I do
I'd rather be beside you, everything we know so well
Tell me what you feel now, show me what you think of it

It's not about us anymore
It's all about the reasons that we think we're fighting for
It's not about hate, it's not about pain we always feel
I know we have our problems but we're not the only ones
It's not about you it's not about me
It's not about anger, it's more about the loneliness we feel

How can I begin to ask for some forgiveness
For all that we have taken, there's nothing left now
Just a little piece of something falling gently down, down, down
No one understands you, no, no, like I do, there's nothing left now

It's not about us anymore
It's all about the reasons that we think we're fighting for
It's not about hate, it's not about pain we always feel
I know we have our problems but we're not the only ones
It's not about you it's not about me
It's not about anger, it's more about the loneliness we feel

It's not about us
It's not about hate
It's more about the loneliness we feel
Can you feel it
It's not about anger
It's not about wanting
I know we have our problems
But we're not the only ones, we're not the only ones
It's not about you, it's not about me
It's not about reasons, it's not about hate..."
cynical;;Negative Emotions;Negative Sentiments;"I re-read silly lines
That made sense at the time
Pages all stained with tears and red wine
And I walk through the airport and see magazines
Every face that I see
So much younger than me
And I smile to myself how I don't even miss
My glorious past or the lips that I've kissed
And I think to myself that how easy this is
Easy to breathe, easy to live
And I wonder why I tear myself in two
Over how to be, what to say and what to do
And I know you liked me better then
And I know you liked me better when I was a fool
…I was a fool
…mm
…I was a fool
…mm
So I live in these days
But I still have my old ways
'cause the future, somehow, has yet to arrive
And I see all around me the women on time
Kids and divorces and crisis in midlife
And do I surrender and give up my dream
For a brick in the wall and a washing machine
Grow up and get real
For a kid in their teens
Who won't care what I've done
Where I've been, what I've seen
And I wonder why I tear myself in two
Over who to be, how to be and what to do
And I know you liked me better then
And I know you liked me better when I was a fool
…I…was a fool
…I was a fool
…I was a fool
I'm free to a fault
I'm 45
I'm playing guitar
I'm living my life
Fly down the highway
Sun on my face
I belong to nobody
I belong to no place"
mellow;Pensive/Emotional;;Calm and Peaceful;"
Readying to bury your father and your mother
What did you think when you lost another?
I used to wonder why did you bother
Distanced from one, blind to the other
Listen here, my sister and my brother
What would you care if you lost the other?
I always wonder why did we bother
Distanced from one, blind to the other

Oh, oh, but sweetness follows

It's these little things, they can pull you under
Live your life filled with joy and wonder
I always knew this altogether thunder
Was lost in our little lives

Oh, oh, but sweetness follows
Oh, oh, but sweetness follows

It's these little things, they can pull you under
Live your life filled with joy and thunder
Yeah, yeah, we were all together
Lost in our little lives

Oh
Oh
Oh
Oh, oh, but sweetness follows
Oh, oh, oh, but sweetness follows"
theatrical;;;Energetic and Exciting;"
Here you come
With skies of grey
With stars that burn the tears away
Another night it slips away
Welcome my light to break
The dark inside you
For anyone who's ever

Fallen
Fallen
Don't slip under now
Can't you hear me calling out?
You've fallen
Fallen
We'll rise up again
Cause the day is coming

Here you stand
You've stood here before
Dressed up in battle scars of war
What have you done?
What you've becomе
Give me your reasons
My strеngth will guide you home
For anyone who's ever

Fallen
Fallen
Don't slip under now
Can't you hear me calling out?
You've fallen
Fallen
We'll rise up again
Cause the day is coming
When every soul upon the land
Will rise again

For every day
For every night
For every time
You crucified love
You crucify love

You've fallen
Fallen
Don't slip under now
Can't you hear me calling out?
You've fallen
Fallen
We'll rise up again
Cause the day is coming
When every soul upon the land
Will rise"
hypnotic;;;Energetic and Exciting;"A few friend of us went inside the house
Then there came alone a star
You have  ...
I saw you take the first lingering steps away from me
Towards something, maybe towards someone
Did you leave me?
I hear you say the words that once changed me
I hear you play that 12-inch I bought you
I hope you feel the same way now as you did then
But you probably don't feel anything...
Don't turn me down
Don't turn around
I hold your hand so you won't steal anything
I take your drugs so you can't feel anything
I hold you tight so you don't lose everything
But I can't hold you like this forever
So I guess I'll lose you...
Help me
Help me
Help me
Help me
..."
serious;Quirky/Unconventional;;Complex and Mysterious;"
Lately, lately, I find I rush

Can't piece together the sun in the sky or the spots on my face
And I must be stuck, my feet already are
I must be lost, my feet already are
And I must be fast, my feet already are
You'll soon be dust your deeds already are

You'll soon be dust your deeds already are
You saw no orb no fiery bushes either
I must be drunk I feel unsteady
No monster me, sadly no saint either...

Walk back into Stockholm - Stockholm - our travels take us further north
Where there's fish in the sea and food on the shelves

And I must be cold, my feet already are
You must be old, so take it easier
And I must be cold, my feet already are
You must be old, so take it easier...

You'll soon be dust your deeds already are
You saw no orb no fiery bushes either
I must be drunk I feel unsteady
No monster me, sadly no saint either...

Walk back into, walk back into
Wicked, wicked, wicked...
Belly, belly, and slap
I love to feel the food in my guts and the fat in my veins
I love to feel the food in my guts and

You'll soon be dust your deeds already are
You saw no orb no fiery bushes either
I must be drunk I feel unsteady
No monster me, sadly no saint either...
You'll soon be dust your deeds already are
You saw no orb no fiery bushes either
I must be drunk I feel unsteady
No monster me, sadly no saint either...

Wicked, wicked, wicked..."
aggressive;HighEnergy/Intensity;Negative Emotions;Negative Sentiments;"Fuck you I'm through
I want nothing more from you
My sanity is wearing thin
Irate, I hate
You determined your own fate
Now everything is caving in
Fuck your power trip and
Fuck your attitude and
Fuck your bloated ego too
Fuck your history
Your tragedy, your misery
But most of all fuck you
Fuck you, fuck you, fuck you
Fuck this, all of this
Bitch and moan and bleed and piss
Seconds away from goin' down
Go ahead and push me
Your fakery, your butchery
Is nothing compared to my hate for you
Fuck your apathy and
Fuck your empathy and
Fuck your nihilism too
Fuck your bitter pills
Take 'em all, you never will
But most of all fuck you
Fuck you, fuck you, fuck you
Fuck you, fuck you, fuck you, fuck you
Nothing changes, nothing fazes, nothing stays the same
Nothing changes, nothing fazes, nothing stays the same
You consulate, just a touch
Let myself be considered for themselves
Let's sit up
Hear that sound
It's not time to hang out
The summer eclipse doesn't exist
Don't watch it and hate the world
Fuck your power trip and
Fuck your attitude and
Fuck your bloated ego too
Fuck your history
Your tragedy, your misery
But most of all, motherfucker fuck you
Fuck you, fuck you, fuck you
Fuck you, fuck you, fuck you, fuck you"
cold;Dark/Negative;;Negative Sentiments;"World domination
Sick in the brains
No more confusion
Nothing remains
World domination
My blood won't run
The last conversation
Damage is done
A message for the human race
A message for your god
For your god
World domination
Feeling the hate
No more illusions
There's only the plague"
fierce;HighEnergy/Intensity;;Energetic and Exciting;"My man
Dissolved in my hand
Just like an avalanche
He's gone
Our plans
There's no plans
White mountaintop
I climb down
My man
Dissolved in my hand
Just like an avalanche
He's gone
Our plans
There's no plans
White mountaintop
I climb down"
ethereal;;;Complex and Mysterious;"
And I long to go
Love started here
Shoot your stars
Be a light
Star

Don't you call
Deer stop, bottle in a shell
Shoot your thousand stars over me

Shoot a star
Shoot a star
To be...

Love to come home
You've arrested me now

Say my name, whisper it
Don't ever turn
I'm deliciously wired
I'm falling in a cloud

Shoot your thousand stars over...
Shoot your thousand stars over...

Lalalalalalalalalalalalalala...

Say my name
Whisper it"
romantic;Pensive/Emotional;;Energetic and Exciting;"My gift is my song
And this one's for you
And you can tell everybody
That this is your song
It may be quite simple, but
Now that it's done
Hope you don't mind
I hope you don't mind
That I put down in words
How wonderful life is
Now you're in the world
Sat on the roof
And I kicked off the moss
Well, some of these verses
Well, they...
They got me quite cross
But the sun's been kind
While I wrote this song
It's for people like you that
Keep it turned on
So excuse me forgetting
But these things I do
You see, I've forgotten
If they're green or they're blue
Anyway, the thing is
What I really mean
Yours are the sweetest eyes
I've ever seen
And you can tell everybody
This is your song
It may be quite simple, but
Now that it's done
I hope you don't mind
I hope you don't mind
That I put down in words
How wonderful life is
Now you're in the world
Hope you don't mind
I hope you don't mind
That I put down in words
How wonderful life is
Now you're in the world"
light;;;Calm and Peaceful;"As a fly on the wall I believe I can see what no one else sees
As a fly on the wall I retrieve and collect information
As a fly on the wall I look down, on this sad little town
As a fly on the wall I look down, on this sad little clown
As a fly on the wall I realize, I think I know those eyes
As a fly on the wall I see, this sad little clown is me
So give me a reason not to be, the drunk I am instinctively
So give me a reason not to fall, but now I still can't hear your call
Don't come find me tonight
Cause you won't like what you'll find
Don't come find me tonight
Cause you won't like what you'll find
As a fly on the wall I look down, on this sad little town
As a fly on the wall I look down, on this sad little clown
As a fly on the wall I realize, I think I know those eyes
As a fly on the wall I see, this sad little clown is me
But give me a reason not to be, the drunk I am instinctively
But give me a reason not to fall, but now I still can't hear your call
Don't come find me tonight'"
melancholy;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
Many men have loved the bells
You fastened to the rein
And everyone who wanted you
They found what they will always want again
Your beauty lost to you yourself
Just as it was lost to them

Oh take this longing from my tongue
Whatever useless things these hands have done
Let me see your beauty broken down
Like you would do for one you love

Your body like a searchlight
My poverty revealed
I would like to try your charity
Until you cry, ""Now you must try my greed.""
And everything depends upon
How near you sleep to me

Just take this longing from my tongue
All the lonely things my hands have done
Let me see your beauty broken down
Like you would do for one you love

Hungry as an archway
Through which the troops have passed
I stand in ruins behind you
With your winter clothes, your broken sandal straps
I love to see you naked over there
Especially from the back

Oh take this longing from my tongue
All the useless things my hands have done
Untie for me your hired blue gown
Like you would do for one you love

You're faithful to the better man
I'm afraid that he left
So let me judge your love affair
In this very room where I have sentenced mine to death
I'll even wear these old laurel leaves
That he's shaken from his head

Just take this longing from my tongue
All the useless things my hands have done
Let me see your beauty broken down
Like you would do for one you love
Like you would do for one you love"
sad;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
Watching terrible TV, it kills all thought
Getting spacier than an astronaut
Making out with people I hardly know or like
I can't believe what I do late at night

I wanna know what it's like
On the inside of love
I'm standing at the gates
I see the beauty above

Only when we get to see the aerial view
Will the patterns show, we'll know what to do
I know the last page so well, I can't read the first
So I just don't start, it's getting worse

I wanna know what it's like
On the inside of love
I'm standing at the gates
I see the beauty above
I wanna know what it's like
On the inside of love
I can't find my way in
I try again and again


I'm on the outside of love
Always under or above
I can't find my way in
I try again and again
I'm on the outside of love
Always under or above
Must be a different view
To be a me with a you

I wanna know what it's like
On the inside of love
I'm standing at the gates
I see the beauty above
I wanna know what it's like
On the inside of love
Of course I'll be alright
I just had a bad night
I had a bad night"
smooth;;;Energetic and Exciting;"
When I found out this love's undone
I was like a gun
Sure as it was over
Felt like nothing good could come

Sure as it's gonna play and play
Like Michael back in the day
I'm gonna peel you away

Now as I begin
To wash you off my skin
I'm gonna peel you away
'Cause you're not right within

I love you so
Sometimes love has to let go
So this time don't think it's a lie
I say goodbye

Now as I begin
To wash you off my skin
I'm gonna peel you away
'Cause you're not right within

Now it's time
To wash you off my skin
Now as I begin
It couldn't be right 'cause you're not right within
I say goodbye"
smooth;;;Energetic and Exciting;"
I can only give you love that lasts forever
And a promise to be near each time you call
And the only heart I own
For you and you alone
That's all
That's all

I can only give you country walks in springtime
And a hand to hold when leaves begin to fall
And a love whose burning light
Will warm the winter night
That's all
That's all

There are those, I am sure, who have told you
They would give you the world for a toy
All I have are these arms to enfold you
And a love time can never destroy

If you're wondering what I'm asking in return, dear
You'll be glad to know that my demands are small
Say it's me that you'll adore
For now and evermore
That's all
That's all


If you're wondering what I'm asking in return, dear
You'll be glad to know that my demands are small
Say it's me that you'll adore
For now and evermore
That's all
That's all"
trippy;;;Energetic and Exciting;"
Oh-uh-oh-uh-oh, what you do to me
Oh-hoh, what you do to me, little girl
Uh-uh-uh-uh, have another hit of sweet air (in the morning)
Uh-uh-uh-uh, have another hit

I want to know where you going
I want to know, sweet mama, where you gonna go, yeah?
Uh-uh-uh-uh, have another hit of fresh air
Uh-uh-uh-uh, have another hit

Oh, baby, what you gonna do?
I what to know, honey, what you gonna do, sweet thing?
Uh-uh-uh-uh, have another hit of sweet love (in the morning)
Uh-uh-uh-uh, have another hit


I love you, yes I do, babe
I love you, God knows I do, sweet thing
Uh-uh-uh-uh, have another hit of sweet California sunshine
Uh-uh-uh-uh, have another hit


Uh-uh-uh, uh-uh-uh

Take me home, take me home
Take me home with you, take me home
I wanna go home with you, little girl
Uh-uh-uh-uh, have another hit of fresh air
Uh-uh-uh-uh, have another hit"
nocturnal;Dark/Negative;;Complex and Mysterious;"In winter, I fall at your feet
In summer, I blow where we meet
And you, oh you
You hold me up
Till like a leaf we fall
Onto the ground
It's time for seasons to go
A reason, a reason to know
And you, oh you
You hold me up
Till like a leaf we fall
Onto the ground
In winter, I fall at your feet
In summer, I blow where we meet
And you, oh you
You hold me up
Till like a leaf we fall
Onto the ground
And you, oh you
You hold me up
Till like a leaf we fall
Onto the ground
Onto the ground
Onto the ground
Till like a leaf we fall
Onto the ground"
